iter	Passed	Remaining
0	60	60546
1	68	34135
2	74	24617
3	85	21365
4	93	18588
5	100	16702
6	106	15134
7	115	14311
8	126	13977
9	134	13297
10	142	12806
11	148	12250
12	154	11728
13	162	11418
14	167	11013
15	174	10714
16	182	10578
17	189	10315
18	195	10081
19	199	9760
20	205	9579
21	212	9433
22	220	9372
23	228	9276
24	232	9055
25	239	8987
26	248	8944
27	255	8867
28	259	8682
29	264	8564
30	270	8458
31	278	8425
32	285	8361
33	290	8260
34	293	8100
35	298	7995
36	305	7946
37	311	7897
38	315	7780
39	321	7725
40	327	7670
41	333	7606
42	341	7606
43	350	7607
44	355	7549
45	361	7499
46	368	7477
47	377	7480
48	383	7448
49	388	7375
50	393	7328
51	396	7228
52	403	7209
53	411	7209
54	418	7197
55	424	7161
56	429	7106
57	435	7075
58	440	7033
59	448	7026
60	453	6988
61	460	6959
62	466	6934
63	474	6943
64	481	6921
65	484	6856
66	490	6833
67	496	6803
68	503	6790
69	511	6799
70	515	6744
71	518	6680
72	522	6641
73	527	6604
74	533	6579
75	540	6567
76	546	6554
77	552	6533
78	558	6514
79	564	6492
80	570	6473
81	579	6492
82	585	6465
83	590	6437
84	596	6420
85	605	6434
86	611	6422
87	615	6373
88	622	6376
89	629	6367
90	638	6381
91	643	6347
92	647	6312
93	653	6299
94	661	6304
95	669	6301
96	677	6305
97	684	6295
98	690	6281
99	700	6306
100	709	6317
101	719	6333
102	726	6327
103	736	6347
104	745	6358
105	754	6365
106	760	6343
107	769	6353
108	777	6352
109	784	6345
110	790	6327
111	798	6329
112	809	6353
113	816	6345
114	822	6328
115	829	6324
116	836	6313
117	846	6325
118	848	6284
119	854	6262
120	862	6262
121	871	6271
122	877	6256
123	883	6238
124	889	6229
125	898	6233
126	905	6224
127	911	6212
128	918	6198
129	925	6196
130	933	6193
131	940	6186
132	943	6147
133	950	6143
134	961	6161
135	975	6198
136	985	6205
137	996	6222
138	1015	6291
139	1024	6295
140	1033	6298
141	1040	6286
142	1045	6267
143	1055	6274
144	1068	6298
145	1075	6292
146	1082	6284
147	1089	6270
148	1104	6307
149	1112	6301
150	1125	6326
151	1134	6328
152	1141	6317
153	1144	6285
154	1153	6287
155	1164	6299
156	1172	6296
157	1180	6292
158	1193	6314
159	1199	6299
160	1206	6288
161	1216	6295
162	1224	6289
163	1228	6261
164	1236	6255
165	1242	6243
166	1253	6254
167	1256	6224
168	1264	6216
169	1273	6216
170	1280	6206
171	1292	6223
172	1302	6228
173	1311	6228
174	1321	6228
175	1325	6207
176	1333	6201
177	1336	6172
178	1340	6149
179	1350	6150
180	1362	6166
181	1370	6160
182	1375	6139
183	1378	6115
184	1390	6123
185	1399	6123
186	1406	6113
187	1413	6106
188	1418	6086
189	1424	6072
190	1431	6063
191	1433	6032
192	1445	6045
193	1457	6056
194	1464	6045
195	1472	6038
196	1475	6015
197	1485	6017
198	1490	6000
199	1495	5983
200	1503	5976
201	1511	5970
202	1519	5965
203	1521	5937
204	1527	5924
205	1532	5908
206	1538	5895
207	1544	5880
208	1551	5870
209	1554	5847
210	1559	5833
211	1574	5852
212	1577	5828
213	1588	5834
214	1594	5821
215	1606	5829
216	1613	5822
217	1618	5806
218	1625	5797
219	1634	5794
220	1637	5771
221	1642	5757
222	1652	5758
223	1658	5744
224	1671	5758
225	1675	5739
226	1678	5715
227	1685	5707
228	1687	5682
